Timestamp,RunningValidators,StoppedValidators
2023-06-09 00:00:00,4,0
2023-06-09 00:00:30,3,1
2023-06-09 00:01:00,3,1
2023-06-09 00:01:30,2,2
2023-06-09 00:02:00,3,1
2023-06-09 00:02:30,3,1
2023-06-09 00:03:00,4,0
2023-06-09 00:03:30,3,1
2023-06-09 00:04:00,3,1
2023-06-09 00:04:30,3,1
2023-06-09 00:05:00,4,0
2023-06-09 00:05:30,3,1
2023-06-09 00:06:00,3,1
2023-06-09 00:06:30,2,2
2023-06-09 00:07:00,2,2
2023-06-09 00:07:30,3,1
2023-06-09 00:08:00,2,2
2023-06-09 00:08:30,2,2
2023-06-09 00:09:00,3,1
2023-06-09 00:09:30,4,0
2023-06-09 00:10:00,3,1
2023-06-09 00:10:30,3,1
2023-06-09 00:11:00,2,2
2023-06-09 00:11:30,2,2
2023-06-09 00:12:00,2,2
2023-06-09 00:12:30,2,2
2023-06-09 00:13:00,3,1
2023-06-09 00:13:30,4,0
2023-06-09 00:14:00,3,1
2023-06-09 00:14:30,2,2
2023-06-09 00:15:00,2,2
2023-06-09 00:15:30,3,1
2023-06-09 00:16:00,2,2
2023-06-09 00:16:30,3,1
2023-06-09 00:17:00,2,2
2023-06-09 00:17:30,1,3
2023-06-09 00:18:00,2,2
2023-06-09 00:18:30,3,1
2023-06-09 00:19:00,3,1
2023-06-09 00:19:30,2,2
2023-06-09 00:20:00,3,1
2023-06-09 00:20:30,3,1
2023-06-09 00:21:00,2,2
2023-06-09 00:21:30,2,2
2023-06-09 00:22:00,1,3
2023-06-09 00:22:30,2,2
2023-06-09 00:23:00,2,2
2023-06-09 00:23:30,3,1
2023-06-09 00:24:00,3,1
2023-06-09 00:24:30,2,2
2023-06-09 00:25:00,2,2
2023-06-09 00:25:30,3,1
2023-06-09 00:26:00,4,0
2023-06-09 00:26:30,4,0
2023-06-09 00:27:00,3,1
2023-06-09 00:27:30,3,1
2023-06-09 00:28:00,2,2
2023-06-09 00:28:30,3,1
2023-06-09 00:29:00,3,1
2023-06-09 00:29:30,2,2
2023-06-09 00:30:00,2,2
2023-06-09 00:30:30,3,1
2023-06-09 00:31:00,3,1
2023-06-09 00:31:30,2,2
2023-06-09 00:32:00,2,2
2023-06-09 00:32:30,3,1
2023-06-09 00:33:00,4,0
2023-06-09 00:33:30,3,1
2023-06-09 00:34:00,3,1
2023-06-09 00:34:30,2,2
2023-06-09 00:35:00,2,2
2023-06-09 00:35:30,3,1
2023-06-09 00:36:00,4,0
2023-06-09 00:36:30,4,0
2023-06-09 00:37:00,3,1
2023-06-09 00:37:30,3,1
2023-06-09 00:38:00,2,2
2023-06-09 00:38:30,3,1
2023-06-09 00:39:00,3,1
2023-06-09 00:39:30,2,2
2023-06-09 00:40:00,2,2
2023-06-09 00:40:30,3,1
2023-06-09 00:41:00,3,1
2023-06-09 00:41:30,2,2
2023-06-09 00:42:00,1,3
2023-06-09 00:42:30,2,2
2023-06-09 00:43:00,2,2
2023-06-09 00:43:30,3,1
2023-06-09 00:44:00,3,1
2023-06-09 00:44:30,2,2
2023-06-09 00:45:00,2,2
2023-06-09 00:45:30,3,1
2023-06-09 00:46:00,4,0
2023-06-09 00:46:30,4,0
2023-06-09 00:47:00,3,1
2023-06-09 00:47:30,3,1
2023-06-09 00:48:00,2,2
2023-06-09 00:48:30,3,1
2023-06-09 00:49:00,3,1
2023-06-09 00:49:30,2,2
2023-06-09 00:50:00,2,2
2023-06-09 00:50:30,3,1
2023-06-09 00:51:00,3,1
2023-06-09 00:51:30,2,2
2023-06-09 00:52:00,1,3
2023-06-09 00:52:30,2,2
2023-06-09 00:53:00,2,2
2023-06-09 00:53:30,3,1
2023-06-09 00:54:00,3,1
2023-06-09 00:54:30,2,2
2023-06-09 00:55:00,2,2
2023-06-09 00:55:30,3,1
2023-06-09 00:56:00,4,0
2023-06-09 00:56:30,4,0
2023-06-09 00:57:00,3,1
2023-06-09 00:57:30,3,1
2023-06-09 00:58:00,2,2
2023-06-09 00:58:30,3,1
2023-06-09 00:59:00,3,1
2023-06-09 00:59:30,2,2
2023-06-09 01:00:00,2,2
